Epoch [1/100] | D Loss: 0.2339002639055252 | G Loss: 1.9282846450805664
Epoch [2/100] | D Loss: 0.4946463108062744 | G Loss: 1.354610562324524
Epoch [3/100] | D Loss: 0.14349089562892914 | G Loss: 8.468968391418457
Epoch [4/100] | D Loss: 0.520592212677002 | G Loss: 6.755886077880859
Epoch [5/100] | D Loss: 0.18050864338874817 | G Loss: 3.7576043605804443
Epoch [6/100] | D Loss: 0.631069540977478 | G Loss: 3.677319288253784
Epoch [7/100] | D Loss: 0.885834813117981 | G Loss: 4.462621688842773
Epoch [8/100] | D Loss: 0.4953368604183197 | G Loss: 4.251644611358643
Epoch [9/100] | D Loss: 0.19279901683330536 | G Loss: 4.866488933563232
Epoch [10/100] | D Loss: 3.7575578689575195 | G Loss: 1.2620500326156616
Epoch [11/100] | D Loss: 3.47829270362854 | G Loss: 1.187407374382019
Epoch [12/100] | D Loss: 6.132513046264648 | G Loss: 4.445781230926514
Epoch [13/100] | D Loss: 0.4738919138908386 | G Loss: 7.330421447753906
Epoch [14/100] | D Loss: 5.786304473876953 | G Loss: 0.6499436497688293
Epoch [15/100] | D Loss: 5.161259651184082 | G Loss: 4.456821918487549
Epoch [16/100] | D Loss: 0.6771820783615112 | G Loss: 6.6947760581970215
Epoch [17/100] | D Loss: 1.3415677547454834 | G Loss: 2.472567558288574
Epoch [18/100] | D Loss: 2.6445722579956055 | G Loss: 0.7512760758399963
Epoch [19/100] | D Loss: 1.2530874013900757 | G Loss: 1.5468673706054688
Epoch [20/100] | D Loss: 0.17559662461280823 | G Loss: 3.530414581298828
Epoch [21/100] | D Loss: 2.3214316368103027 | G Loss: 0.8568446636199951
Epoch [22/100] | D Loss: 0.9193466305732727 | G Loss: 2.5279839038848877
Epoch [23/100] | D Loss: 0.8659420013427734 | G Loss: 5.5695624351501465
Epoch [24/100] | D Loss: 1.1135988235473633 | G Loss: 2.5314977169036865
Epoch [25/100] | D Loss: 0.8700157403945923 | G Loss: 1.259121298789978
Epoch [26/100] | D Loss: 2.634460926055908 | G Loss: 3.0237550735473633
Epoch [27/100] | D Loss: 0.19283851981163025 | G Loss: 2.553636312484741
Epoch [28/100] | D Loss: 0.6012346744537354 | G Loss: 3.9255788326263428
Epoch [29/100] | D Loss: 2.684553623199463 | G Loss: 0.36447179317474365
Epoch [30/100] | D Loss: 2.853677272796631 | G Loss: 1.556136965751648
Epoch [31/100] | D Loss: 2.574338912963867 | G Loss: 0.3936810791492462
Epoch [32/100] | D Loss: 2.6715636253356934 | G Loss: 1.3581100702285767
Epoch [33/100] | D Loss: 1.020288348197937 | G Loss: 2.6320924758911133
Epoch [34/100] | D Loss: 1.2081217765808105 | G Loss: 0.9028105139732361
Epoch [35/100] | D Loss: 1.6159987449645996 | G Loss: 0.7032442688941956
Epoch [36/100] | D Loss: 0.5232685804367065 | G Loss: 2.887396812438965
Epoch [37/100] | D Loss: 2.376661777496338 | G Loss: 1.5873275995254517
Epoch [38/100] | D Loss: 0.2592204511165619 | G Loss: 4.307753562927246
Epoch [39/100] | D Loss: 3.007932424545288 | G Loss: 5.2753520011901855
Epoch [40/100] | D Loss: 1.7150720357894897 | G Loss: 3.347217559814453
Epoch [41/100] | D Loss: 2.106215476989746 | G Loss: 0.8315032124519348
Epoch [42/100] | D Loss: 0.8974801301956177 | G Loss: 1.053339958190918
Epoch [43/100] | D Loss: 2.9401724338531494 | G Loss: 0.39546430110931396
Epoch [44/100] | D Loss: 4.080866813659668 | G Loss: 0.3392848074436188
Epoch [45/100] | D Loss: 0.917535662651062 | G Loss: 1.1865713596343994
Epoch [46/100] | D Loss: 3.4322595596313477 | G Loss: 0.385969877243042
Epoch [47/100] | D Loss: 0.5352604985237122 | G Loss: 2.294107675552368
Epoch [48/100] | D Loss: 1.4535167217254639 | G Loss: 1.318932056427002
Epoch [49/100] | D Loss: 2.1864285469055176 | G Loss: 2.135225534439087
Epoch [50/100] | D Loss: 1.4955036640167236 | G Loss: 1.6838418245315552
Epoch [51/100] | D Loss: 2.5415139198303223 | G Loss: 0.439221054315567
Epoch [52/100] | D Loss: 1.1766066551208496 | G Loss: 1.011720895767212
